TF326309	ARHGAP19
TF313183	PINK1
TF331893	FGFR1OP
TF314693	Gem-associated_protein_6
TF300578	RRM1
TF334107	Interleukin_10_receptor%2C_alpha_subunit
TF334107	Interleukin_20_receptor%2C_alpha_subunit
TF335688	OMG_%28gene%29
TF300313	ATP6V1B1
TF300313	ATP6V1B2
TF105405	AKAP6
TF106349	NUDT4
TF106349	NUDT3
TF106349	NUDT11
TF314294	CTNNBL1
TF333213	Gap-43_protein
TF320727	ACIN1
TF313776	SNRPA1
TF316650	Testicular_receptor_2
TF316650	Testicular_receptor_4
TF333160	DEF6
TF333160	SWAP70
TF315244	Ryanodine_receptor_2
TF315244	RYR3
TF315244	RYR1
TF323297	MRPL37
TF105196	ABCB8
TF350396	TRDN
TF323347	RHOBTB3
TF323347	RHOBTB1
TF323347	RHOBTB2
TF300102	TATA-binding_protein
TF300102	TBPL1
TF300432	TUFM
TF320661	RBM14
TF320661	RBM4
TF320661	RBM4
TF330897	Peptide_transporter_1
TF330897	SLC15A2
TF101165	DYNC1H1
TF321907	IK_%28gene%29
TF106280	USP48
TF106373	NME1
TF106373	NME4
TF106373	NME2
TF106373	NME3
TF106373	NME2
TF329155	FAM48A
TF324432	HPS3
TF332241	ZNF217
TF332241	ZNF219
TF336919	Prolactin-induced_protein
TF317319	NDUFB8
TF343335	NUP98
TF323936	CABLES1
TF316855	DOPEY2
TF351417	TAF9
TF351417	TAF9B
TF300290	ATP6V0E1
TF106143	MBOAT5
TF101172	INCENP
TF300321	ATP_synthase%2C_H%2B_transporting%2C_mitochondrial_F1_complex%2C_alpha_1
TF314133	SEC23IP
TF341184	SYTL1
TF341184	SYTL4
TF341184	SYTL2
TF300362	DNM1
TF300362	DNM3
TF300362	DNM2
TF330745	XIRP2
TF322812	DOM3Z
TF331342	ZFPM1
TF331342	ZFPM2
TF337669	C20orf132
TF105638	CCT5_%28gene%29
TF313824	Histidine_ammonia-lyase
TF316475	C20orf3
TF317609	ARS2
TF330924	NPFF
TF328447	TSHZ3
TF323665	Coiled-coil_domain-containing_protein_135
TF101025	Cyclin-dependent_kinase_8
TF315405	DHRS4
TF315405	DHRS2
TF335091	SP110
TF319494	UTP15
TF351603	MEOX1
TF300692	PGM2
TF106210	PSMA6
TF300337	GANAB
TF300337	GANC
TF337003	PRAM1
TF337003	FYB
TF314270	Adenosine_deaminase
TF314339	TMEM112
TF331292	Gastrin-releasing_peptide_receptor
TF331292	Bombesin-like_receptor_3
TF331292	Endothelin_receptor_type_B
TF331292	Endothelin_receptor_type_A
TF331292	Neuromedin_B_receptor
TF331292	GPR37
TF331292	GPR37L1
TF314073	YIPF3
TF314342	CTR9
TF105064	COX6A1
TF323617	HEY2
TF323617	HEY1
TF323617	HEYL
TF317174	TFE3
TF317174	TFEB
TF317174	TFEC
TF317174	Microphthalmia-associated_transcription_factor
TF319627	GLRX2
TF105233	KIF22
TF351978	PTPRG
TF351978	PTPRZ1
TF315217	SLC30A7
TF323156	SGSH
TF323156	Iduronate-2-sulfatase
TF315865	TYRP1
TF315865	Tyrosinase
TF315865	Dopachrome_tautomerase
TF333432	Histamine_H1_receptor
TF312925	CYFIP1
TF312925	CYFIP2
TF339497	TOPORS
TF332138	GPATCH8
TF300258	GCSH
TF313937	STUB1
TF313102	CNOT2
TF331768	MPG_%28gene%29
TF313576	ORAI1
TF313576	ORAI2
TF314918	PDK1
TF314918	PDK2
TF314918	PDK3
TF314918	PDK4
TF313935	Merlin_%28protein%29
TF313935	Radixin
TF313935	Moesin
TF313935	Ezrin
TF300144	CRIPT
TF343656	RICTOR
TF313484	GPR89B
TF313484	GPR89B
TF101085	MAD2L2
TF319983	ARNTL2
TF319983	ARNTL
TF319983	ARNT2
TF319983	Aryl_hydrocarbon_receptor_nuclear_translocator
TF314510	DCLRE1A
TF323342	D2HGDH
TF314476	Sjogren_syndrome_antigen_B
TF324118	TH1L
TF335524	CENPO
TF329598	PTOV1
TF329598	MED25
TF331915	CITED2
TF331915	CITED1
TF300080	ATP6V1F
TF331502	NEIL2
TF106221	PSMB6
TF106221	PSMB9
TF105659	VPS35
TF333253	Interleukin_10
TF333253	Interleukin_26
TF333253	Interleukin_22
TF333253	Interleukin_24
TF101058	CDC27
TF351632	PTPN6
TF351632	PTPN11
TF313862	Tafazzin
TF331201	Hemopexin
TF332098	ECOP
TF331942	GPX7
TF331942	GPX4
TF331942	GPX8
TF314180	DCP2
TF316777	LRP5
TF333489	CXCR7
TF333489	GPR182
TF314947	RPL32
TF329114	11%CE%B2-hydroxysteroid_dehydrogenase_type_1
TF335950	GKN1
TF314644	RBMS1
TF101125	UBE2M
TF101131	Centromere_protein_B
TF324097	RNF25
TF323479	PPOX
TF101078	SEPT9
TF101078	SEPT3
TF336237	Ciliary_neurotrophic_factor
TF328865	SLC9A10
TF328865	SLC9A11
TF323855	NOL12
TF101148	COPS6
TF101032	CDKL5
TF317513	FRMD7
TF336960	CD27
TF324620	Cofactor_of_BRCA1
TF105646	MCM6
TF338214	SPAG11B
TF338214	SPAG11B
TF336092	Trefoil_factor_1
TF336092	Trefoil_factor_3
TF336092	Trefoil_factor_2
TF105210	ABCG1
TF105210	ABCG4
TF313897	EIF4H
TF331952	PADI2
TF331952	PADI3
TF331952	PADI1
TF331952	PADI4
TF338711	CMTM2
TF313247	PRKAG3
TF313247	PRKAG2
TF313247	PRKAG1
TF318501	CLPTM1L
TF318501	Cleft_lip_and_palate_transmembrane_protein_1
TF313740	SCPEP1
TF314145	OTUB1
TF314145	OTUB2
TF300050	RPL15
TF329225	C11orf1
TF351133	PRKCE
TF351133	PRKCH
TF351133	PKC_alpha
TF351133	PRKCG
TF351133	PRKCB1
TF332441	SIGLEC9
TF332441	Sialic_acid-binding_Ig-like_lectin_12
TF332441	SIGLEC7
TF332441	SIGLEC5
TF332441	SIGLEC10
TF332441	SIGLEC8
TF338096	HKR1
TF338096	PRDM9
TF338096	ZNF133
TF323827	UXT
TF324446	NDUFB1
TF317003	SALL2
TF317003	SALL1
TF317003	SALL3
TF317003	SALL4
TF333705	ZNF644
TF313128	FEZ1
TF313128	FEZ2
TF315007	Signal_transducing_adaptor_molecule
TF315007	STAM2
TF332794	ZP4
TF332794	ZP2
TF331183	LRDD
TF300648	VARS
TF342247	Delta-like_1
TF342247	DLL4
TF318583	SBF2
TF318583	MADD_%28gene%29
TF318583	SBF1
TF300525	MSH3
TF105932	QDPR
TF313811	Selenophosphate_synthetase_1
TF319444	SSH3
TF319444	SSH1
TF319444	SSH2
TF313507	TRIP13
TF331289	AZI2
TF328830	CCDC113
TF314619	LYPLA1
