Page_Name	Entrez_ID
ALAS1	211
ACVRL1	94
AKAP8L	26993
AGK_%28gene%29	55750
AKR1C4	1109
AGGF1	55109
ABCC12	94160
ANP32D	23519
ANAPC11	51529
AP3M1	26985
AP4E1	23431
ACOX3	8310
Actinin_alpha_4	81
AP1G1	164
AKAP9	10142
Annexin_A3	306
AKR1B1	231
ACVR1C	130399
ADAM33	80332
ABL2	27
ACOT2	10965
AMPD2	271
Acidic_repeat-containing_protein	93953
ACTG2	72
ALG1	56052
AARS2	57505
ANKS1B	56899
ABCA3	21
ADAM12	8038
ADAMTS9	56999
Alpha_1-antichymotrypsin	12
ALG6	29929
ALDH1A3	220
AMELX	265
ADAMTS3	9508
ACTR3	10096
AKR1C3	8644
ALDH1A1	216
APBA2BP	63941
5-HT2B_receptor	3357
APEH_%28gene%29	327
AP2M1	1173
AOAH	313
ALCAM	214
ADAM19	8728
ADAM22	53616
ANAPC10	10393
AMOT	154796
ANKRD15	23189
ACSM2B	348158
ADRM1	11047
AP3S1	1176
Actinin%2C_alpha_2	88
AFG3L2	10939
Alpha-lactalbumin	3906
Adrenomedullin	133
ANKHD1	54882
5-HT1E_receptor	3354
ABCF2	10061
ANKRD25	25959
ANK3	288
ACD_%28gene%29	65057
ANGPTL1	9068
60S_ribosomal_protein_L28	6158
ACP1	52
ALG13	79868
ADCYAP1R1	117
ANKS1A	23294
ADCY3	109
ACTR3B	57180
ACAD9	28976
AKAP2	11217
ABCB9	23457
AAMP_%28gene%29	14
ANXA8L2	244
ANXA9	8416
7SK_RNA	125050
ALG3	10195
ANP32B	10541
ACAD8	27034
5-HT2C_receptor	3358
ALX4	60529
AFAP1	60312
ACAT2	39
AKTIP	64400
ANP32C	23520
ALDH2	217
ADAR	103
ANAPC4	29945
ADH1A	124
ADAMTSL1	92949
ABO_%28gene%29	28
Aldehyde_dehydrogenase_9_family%2C_member_A1	223
AKR7A2	8574
Actin%2C_alpha_1	58
ABLIM1	3983
AP1M2	10053
Adenosine_deaminase	100
ADAMTS4	9507
AP4B1	10717
ADI1	55256
ABCB4	5244
AMP_deaminase	270
ACTN3	89
5-HT4_receptor	3360
AKAP4	8852
AP3B1	8546
ACTR1A	10121
ABI1	10006
AKR1C1	1645
Annexin_A1	301
Annexin_A2	302
Adenosine_A1_receptor	134
Methionine_synthase	4548
ANKZF1	55139
Agmatinase	79814
ABCB5	340273
Angiotensin	183
ADARB1	104
AKAP12	9590
ANXA11	311
ALG12	79087
Amylin	3375
ACOX1	51
Adenomatous_polyposis_coli	324
AHI1	54806
ANKRD1	27063
AAAS_%28gene%29	8086
Alpha-1-microglobulin/bikunin_precursor	259
Alpha-galactosidase	2717
ACTC1	70
AIM2	9447
AMELY	266
Acetylserotonin_O-methyltransferase	438
5-HT2A_receptor	3356
5%27-3%27_exoribonuclease_2	22803
ACY1	95
Alpha-synuclein	6622
AP2B1	163
ACOT8	10005
AFF3	3899
ABI2	10152
ADAMTS5	11096
Adiponectin	9370
ABCC4	10257
ALG14	199857
ACTL6A	86
AKT2	208
ABTB1	80325
AIFM1	9131
ABCG4	64137
ANKRD23	200539
ABCA13	154664
ABCC1	4363
Aldolase_A	226
ACOT12	134526
AATK	9625
ANKH	56172
ACCN4	55515
ACCN3	9311
ALOX12B	242
ABCC10	89845
ANKRD17	26057
ANKFY1	51479
APBB3	10307
ABCF1	23
AGPAT1	10554
Adipose_differentiation-related_protein	123
AP1S1	1174
Alpha-2A_adrenergic_receptor	150
ADAMTS12	81792
ABCC8	6833
Afamin	173
ADC_%28gene%29	113451
ABCC9	10060
ABCC5	10057
ACAA1	30
ACVR2B	93
ALDH3B2	222
ACTR1B	10120
AKT1S1	84335
ACAA2	10449
AP2S1	1175
ADH7	131
ACTG1	71
ALOX15	246
ANGPTL2	23452
AGPAT5	55326
Amidophosphoribosyltransferase	5471
ANKRD13C	81573
Aldehyde_oxidase_1	316
AP4M1	9179
AP1GBP1	11276
ABCB8	11194
ADARB2	105
7-Dehydrocholesterol_reductase	1717
APBB1IP	54518
ABCD4	5826
Alpha-1B_adrenergic_receptor	147
ABCA4	24
ABCB6	10058
APBA3	9546
ACTL6B	51412
Aggrecan	176
ABCD2	225
ADH1C	126
AKAP6	9472
Amphiregulin	374
5-HT6_receptor	3362
ACOT11	26027
ALDH1L2	160428
ADD1	118
ALS2CR8	79800
ADH5	128
AMOTL1	154810
ANKRD2	26287
ABCG5	64240
ALG11	440138
AIM1	202
5-HT1F_receptor	3355
Amnionless	81693
ABCG8	64241
APBA2	321
ADAMTS2	9509
ANAPC5	51433
ADD3	120
5-HT1D_receptor	3352
ACSBG1	23205
ADCY6	112
ADCY10	55811
ANKK1	255239
AP4S1	11154
Adenosine_A2A_receptor	135
AGXT	189
Adenosine_A3_receptor	140
ABCA7	10347
ABCG2	9429
ACP2	53
AMOTL2	51421
Agrin	375790
ADAM23	8745
ABCD3	5825
ADAMTSL4	54507
AIPL1	23746
ALDH1A2	8854
ANXA7	310
ALS2	57679
ACF_%28gene%29	29974
ABCC11	85320
AKT3	10000
AGPAT3	56894
AICDA	57379
ALAD	210
Amphiphysin	273
ABLIM3	22885
ALDH7A1	501
ALDH3B1	221
Alpha-2C_adrenergic_receptor	152
ADP-specific_glucokinase	83440
Acid_alpha-glucosidase	2548
5-HT7_receptor	3363
ANGPTL7	10218
ACCN2	41
AHSA1	10598
ACSF3	197322
Aldehyde_dehydrogenase_6_family%2C_member_A1	4329
ADAM15	8751
Activating_transcription_factor_2	1386
ALPI	248
Acetylcholinesterase	43
AKAP7	9465
ABCG1	9619
ACER1	125981
AMY2B	280
ABCC13	150000
AMY2A	279
5-lipoxygenase-activating_protein	241
ALOXE3	59344
ALG2	85365
ALDH1B1	219
ADM2	79924
ACACB	32
ACER3	55331
ALAS2	212
ANGPTL3	27329
ABRA_%28gene%29	137735
AKAP3	10566
3-hydroxyisobutyrate_dehydrogenase	11112
A4GALT	53947
ANAPC7	51434
Antithrombin	462
AKR1B10	57016
AGPAT2	10555
AFTPH	54812
ACER2	340485
AASS	10157
AHNAK	79026
Alpha_2-antiplasmin	5345
ADCY5	111
ALX1	8092
AIF1	199
ACYP2	98
ADAM11	4185
ABI3	51225
ANKRD26	22852
AP1S2	8905
ANAPC2	29882
APBB2	323
AP1B1	162
AKAP11	11215
AKAP5	9495
Aldolase_B	229
AP2A2	161
AMACR	23600
Adenine_phosphoribosyltransferase	353
ACACA	31
AMY1A	276
Aldolase_C	230
ADIPOR1	51094
60S_ribosomal_protein_L14	9045
ACSL3	2181
ACSS2	55902
Angiopoietin_1	284
Multidrug_resistance-associated_protein_2	1244
ADD2	119
ABCC6	368
Alpha-fetoprotein	174
Alpha-1D_adrenergic_receptor	146
2%27%2C3%27-Cyclic-nucleotide_3%27-phosphodiesterase	1267
ADAM9	8754
ACSBG2	81616
AP3S2	10239
Alpha-2B_adrenergic_receptor	151
ADAM8	101
ANO1	55107
24-dehydrocholesterol_reductase	1718
ACSL1	2180
5-HT5A_receptor	3361
Angiogenin	283
ALDH16A1	126133
ANTXR2	118429
ALPK1	80216
ACIN1	22985
ABCA8	10351
AHCTF1	25909
Alanine_aminopeptidase	290
ABCA9	10350
ALS2CR2	55437
ABCC3	8714
Acidic_leucine-rich_nuclear_phosphoprotein_32_family_member_A	8125
ABCA2	20
ABHD5	51099
AKAP8	10270
AADAC	13
ALOX12	239
ADAM17	6868
Aldo-keto_reductase_family_1%2C_member_A1	10327
ACCN1	40
AFF2	2334
ANK1	286
Adaptor-related_protein_complex_2%2C_alpha_1	160
ACSL4	2182
AK3L1	205
AGR2	10551
ADAMTS10	81794
ADCY2	108
Alpha-enolase	2023
AHCYL1	10768
AP3D1	8943
ANKRD27	84079
ANXA6	309
Angiotensin_II_receptor_type_1	185
APBA1	320
ABCA12	26154
ABCB11	8647
ANXA4	307
APBB1	322
AMFR	267
ADCY1	107
ANXA13	312
Acrosin	49
ANGPTL4	51129
60S_ribosomal_protein_L35	11224
Aldehyde_dehydrogenase_3_family%2C_member_A1	218
ADAMTS1	9510
ACTA2	59
AIG1	51390
ADAMTS13	11093
Abl_gene	25
AGPAT9	84803
ALDH1L1	10840
ACP6	51205
ABHD2	11057
ALOX15B	247
ALG9	79796
60S_ribosomal_protein_L38	6169
ACVR1	90
ACRV1	56
ACVR2A	92
AP1M1	8907
ADK_%28gene%29	132
ANAPC1	64682
ACSM3	6296
Anaplastic_lymphoma_kinase	238
ADAMTS8	11095
5-HT1B_receptor	3351
5-HT1A_receptor	3350
ALPL	249
AOC3	8639
AP1G2	8906
AP3B2	8120
ACSL5	51703
AK2	204
Alpha-tocopherol_transfer_protein	7274
APAF1	317
Alpha-tubulin_3C	7278
AAK1	22848
AMICA1	120425
ACTR2	10097
25-Hydroxyvitamin_D3_1-alpha-hydroxylase	1594
ADPRHL2	54936
11%CE%B2-hydroxysteroid_dehydrogenase_type_1	3290
ANP32E	81611
AKAP1	8165
Aldehyde_dehydrogenase_4_family%2C_member_A1	8659
ACOT4	122970
ADH4	127
AKT1	207
ADAM2	2515
Actinin%2C_alpha_1	87
ANGPT4	51378
AGR3	155465
ABCB7	22
AKAP10	11216
Alpha_1-antitrypsin	5265
ADAM10	102
ADCY7	113
ACVR1B	91
ABHD11	83451
ADCY9	115
Androgen_receptor	367
60S_ribosomal_protein_L31	6160
60S_ribosomal_protein_L41	6171
ACBD3	64746
Adenosine_A2B_receptor	136
ADAM18	8749
ADCY4	196883
ACTL7A	10881
Angiotensin-converting_enzyme	1636
ANGPT2	285
ACSL6	23305
3-dehydrosphinganine_reductase	2531
Annexin_A5	308
ACTH_receptor	4158
ACYP1	97
Angiotensin_II_receptor_type_2	186
Amyloid_precursor_protein	351
User_talk%3AAdrg	7157
ABCD1	215
21-Hydroxylase	1589
ADH1B	125
ANTXR1	84168
AASDHPPT	60496
Aldehyde_dehydrogenase_18_family%2C_member_A1	5832
AIFM2	84883
Aldosterone_synthase	1585
ADAM28	10863
ADCY8	114
Alpha-1A_adrenergic_receptor	148
Angiotensin-converting_enzyme_2	59272
ANLN	54443
ADH6	130
ALG8	79053
Agouti-related_peptide	181
ABCA1	19
Aldehyde_dehydrogenase_5_family%2C_member_A1	7915
AGTRAP	57085
AH_receptor-interacting_protein	9049
AFF1	4299
AKAP13	11214
AMPD3	272
ACOT7	11332
ACAT1	38
ATP6V0A4	50617
Autophagy-related_protein_101	60673
ASB3	51130
B4GALT2	8704
BIRC7	79444
BPTF	2186
ART3	419
ATG16L1	55054
ARFGEF2	10564
ARHGAP24	83478
BRD2	6046
B-cell_linker	29760
BMP2K	55589
AQP7	364
BATF_%28gene%29	10538
Beta-actin	60
ARHGDIA	396
BET1L	51272
BACH1	571
BLMH	642
APOA4	337
BAG4	9530
Basic_fibroblast_growth_factor	2247
ATG5	9474
ARTS-1	51752
BAT2	7916
BCKDHA	593
Brain_natriuretic_peptide	4879
Bone_sialoprotein	3381
ARL4A	10124
BEX2	84707
BRCA1	672
ATRX	546
BRCC3	79184
ATP6V1G2	534
BCL9	607
Addressin	8174
Brevican	63827
Ataxia_telangiectasia_mutated	472
BRE_%28gene%29	9577
BPY2	9083
Baculoviral_IAP_repeat-containing_protein_3	330
ARMCX3	51566
ATP5H	10476
ATXN2L	11273
Arrestin_beta_2	409
BLOC1S1	2647
ARMC6	93436
Bcl-2-interacting_killer	638
B4GALNT1	2583
BOK_%28gene%29	666
Beta-1%2C3-N-acetylglucosaminyltransferase_3	10331
AVPI1	60370
ASB2	51676
BNIP2	663
ATP6V1B1	525
Aristaless_related_homeobox	170302
B4GALT1	2683
BNIP3L	665
ATF6	22926
Arachidonate_5-lipoxygenase	240
BFSP2	8419
ARPC1A	10552
ARHGEF12	23365
Beta-defensin_2	1673
ARID2	196528
BHLHB2	8553
ATP1B3	483
BRAF_%28gene%29	673
BRCA2	675
B3GNT1	11041
Bone_morphogenetic_protein_15	9210
BMF_%28gene%29	90427
ARMCX1	51309
APIP	51074
Brain-specific_angiogenesis_inhibitor_2	576
Apolipoprotein_H	350
Apolipoprotein_D	347
ATP1A2	477
ATP7A	538
APOM	55937
Bile_salt-dependent_lipase	1056
APOBEC3C	27350
ARAF	369
ATPase%2C_Na%2B/K%2B_transporting%2C_alpha_1	476
Aurora_A_kinase	6790
ASPH	444
APOBEC3H	164668
ATP5G1	516
ATP1A3	478
Aquaporin_2	359
